trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 2.0}",30,0,-134.45033003246223,"{0: 21, 1: 4, 2: 2, 3: 0, 4: 3}",0
2,False,"{'a': 0.4900993366533776, 'e': 1.902458849001428}",20,0,-132.71612584938444,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.4803947195761616, 'e': 1.809674836071919}",20,0,-130.8057072217032,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
4,False,"{'a': 0.47088226679212436, 'e': 1.7214159528501156}",25,0,-154.12052153389672,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.4615581731933179, 'e': 1.6374615061559636}",25,0,-158.00758706744486,"{0: 12, 1: 2, 2: 8, 3: 2, 4: 1}",0
6,False,"{'a': 0.45241870901797976, 'e': 1.5576015661428098}",20,0,-110.94591070181036,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.44346021835857874, 'e': 1.4816364413634358}",20,0,-78.93085970641661,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
8,False,"{'a': 0.43467911769940293, 'e': 1.4093761794374269}",30,0,-200.69919190884906,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
9,False,"{'a': 0.4260718944831057, 'e': 1.3406400920712787}",20,0,-67.21456013844467,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.417635105705636, 'e': 1.2752563032435467}",30,0,-218.5802979401153,"{0: 18, 1: 1, 2: 6, 3: 1, 4: 4}",0
11,False,"{'a': 0.4093653765389909, 'e': 1.2130613194252668}",20,13,-36.89464397907657,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.40125939898123925, 'e': 1.1538996207609733}",35,0,-154.48217437390517,"{0: 22, 1: 5, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.39331393053327673, 'e': 1.0976232721880528}",25,0,-189.73835018494123,"{0: 12, 1: 6, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.3855257929017831, 'e': 1.044091553522032}",20,0,-187.32608626028903,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
15,False,"{'a': 0.37789187072786273, 'e': 0.9931706075828189}",20,0,-130.2363099166199,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.37040911034085894, 'e': 0.9447331054820294}",25,0,-140.472231423186,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.36307451853684547, 'e': 0.8986579282344431}",25,0,-102.6291686428408,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.3558851613813048, 'e': 0.8548298638974533}",20,0,14.6795763617021,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.3488381630355155, 'e': 0.8131393194811982}",25,9,-17.823848869551444,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.3419307046061779, 'e': 0.7734820469090024}",25,0,-108.16776920574738,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
21,False,"{'a': 0.33516002301781966, 'e': 0.7357588823428847}",25,8,-82.19871812001841,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 1}",1
22,False,"{'a': 0.3285234099075284, 'e': 0.6998754982223107}",20,0,-75.60197286803432,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.3220182105415707, 'e': 0.6657421673961591}",20,0,-55.67888161773894,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
24,False,"{'a': 0.315641822753463, 'e': 0.6332735387581063}",25,0,-92.78613215120846,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.3093916959030704, 'e': 0.602388423824404}",25,0,-17.33249119862152,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
