trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 2.0}",25,0,-228.37467893754834,"{0: 13, 1: 0, 2: 7, 3: 1, 4: 4}",0
2,False,"{'a': 0.4900993366533776, 'e': 1.902458849001428}",20,0,-69.46356424588427,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.4803947195761616, 'e': 1.809674836071919}",20,0,-134.46469527571668,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.47088226679212436, 'e': 1.7214159528501156}",35,0,-149.33767201305645,"{0: 22, 1: 2, 2: 9, 3: 0, 4: 2}",0
5,False,"{'a': 0.4615581731933179, 'e': 1.6374615061559636}",20,0,-53.969868319441325,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.45241870901797976, 'e': 1.5576015661428098}",20,0,-107.58467941976521,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.44346021835857874, 'e': 1.4816364413634358}",25,0,-81.92530934674959,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
8,False,"{'a': 0.43467911769940293, 'e': 1.4093761794374269}",20,0,-135.3074532208602,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
9,False,"{'a': 0.4260718944831057, 'e': 1.3406400920712787}",20,0,-191.02334603270668,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
10,False,"{'a': 0.417635105705636, 'e': 1.2752563032435467}",20,0,-59.1231209791535,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.4093653765389909, 'e': 1.2130613194252668}",20,0,-94.73127170486805,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.40125939898123925, 'e': 1.1538996207609733}",25,12,-19.310426193637866,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
13,False,"{'a': 0.39331393053327673, 'e': 1.0976232721880528}",25,2,-53.6233938825094,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 0}",1
14,False,"{'a': 0.3855257929017831, 'e': 1.044091553522032}",20,0,-42.87660880052352,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.37789187072786273, 'e': 0.9931706075828189}",25,14,-51.221551947579506,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.37040911034085894, 'e': 0.9447331054820294}",25,0,-154.4548459925936,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
17,False,"{'a': 0.36307451853684547, 'e': 0.8986579282344431}",20,0,-114.8041477065057,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.3558851613813048, 'e': 0.8548298638974533}",20,0,-191.02496763545957,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
19,False,"{'a': 0.3488381630355155, 'e': 0.8131393194811982}",25,0,-111.38745332370502,"{0: 13, 1: 1, 2: 10, 3: 1, 4: 0}",0
20,False,"{'a': 0.3419307046061779, 'e': 0.7734820469090024}",20,0,-48.59125780993686,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
21,False,"{'a': 0.33516002301781966, 'e': 0.7357588823428847}",20,6,-36.1983274909182,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
22,False,"{'a': 0.3285234099075284, 'e': 0.6998754982223107}",20,0,-164.91440041793007,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
23,False,"{'a': 0.3220182105415707, 'e': 0.6657421673961591}",20,10,-18.610122785097637,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
24,False,"{'a': 0.315641822753463, 'e': 0.6332735387581063}",25,0,-127.37106058974267,"{0: 17, 1: 4, 2: 1, 3: 0, 4: 3}",0
25,False,"{'a': 0.3093916959030704, 'e': 0.602388423824404}",25,16,-12.371110334088339,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
26,False,"{'a': 0.3032653298563167, 'e': 0.5730095937203802}",25,0,3.142790766830528,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
27,False,"{'a': 0.2972602739850972, 'e': 0.5450635860680252}",20,4,-55.415120797195,"{0: 11, 1: 0, 2: 3, 3: 2, 4: 0}",1
28,False,"{'a': 0.2913741261869948, 'e': 0.518480521291783}",30,4,-117.54494317266436,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 2}",1
29,False,"{'a': 0.28560453192440743, 'e': 0.49319392788321287}",20,7,-21.021902797003328,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
30,False,"{'a': 0.279949183282701, 'e': 0.46914057618759525}",25,0,18.74267743794908,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.27440581804701325, 'e': 0.44626032029685964}",20,0,-87.53674909481529,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
32,False,"{'a': 0.26897221879733724, 'e': 0.4244959476534861}",25,0,-11.544466400816093,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
33,False,"{'a': 0.2636462120215243, 'e': 0.40379303598931077}",25,5,-36.87703893816124,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",1
34,False,"{'a': 0.2584256672458496, 'e': 0.38409981724150816}",20,0,15.875410536338627,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.2533084961827948, 'e': 0.3653670481054692}",30,0,-122.01973275196588,"{0: 22, 1: 1, 2: 3, 3: 2, 4: 2}",0
36,False,"{'a': 0.24829265189570474, 'e': 0.3475478869008903}",30,11,-2.66760524038037,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
37,False,"{'a': 0.24337612797998584, 'e': 0.33059777644317306}",35,0,-8.088444307191889,"{0: 29, 1: 2, 2: 4, 3: 0, 4: 0}",0
38,False,"{'a': 0.2385569577605172, 'e': 0.3144743326272552}",20,6,-15.993040787062977,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
39,False,"{'a': 0.23383321350495462, 'e': 0.29913723844527007}",20,11,9.409835214727043,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.22920300565261176, 'e': 0.28454814317302707}",30,16,18.95254960518471,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
