trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.97776882529544,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-175.6720099142221,"{0: 16, 1: 7, 2: 2, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,2,-127.06729862279572,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 2}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-153.87227277124015,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.22402884672928,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,12,8.768973794958992,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-121.00101083616117,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.16228850396803,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,10,-81.03735327382941,"{0: 5, 1: 0, 2: 3, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.57396470458657,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,0,-192.91612941881786,"{0: 22, 1: 5, 2: 4, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-173.4371963475803,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-294.80907154928616,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 5}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-211.60398032827658,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.23413790449717,"{0: 13, 1: 0, 2: 2, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-133.30607531696387,"{0: 18, 1: 2, 2: 6, 3: 4, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-55.748956866978354,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.85222080652699,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-30.43074529284368,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-77.22073396653661,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-91.58615881567499,"{0: 26, 1: 0, 2: 8, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,0,-232.30260071742399,"{0: 20, 1: 2, 2: 8, 3: 2, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-60.17291798252114,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-125.30975235057052,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-141.8600072381113,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-66.22322507057486,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,19,-22.953715594543738,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-116.60077636252599,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-183.6065996146581,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-314.0996976110953,"{0: 9, 1: 2, 2: 7, 3: 2, 4: 5}",0
